0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y
0.2568712635,2031.,0.2570262355,1972.,0.2571623725,1963.,0.2572963638,4300.
0.2618422908,2032.,0.2619731826,1983.,0.2621152801,1942.,0.2622504634,5350.
0.2669151229,2036.,0.2670941753,2003.,0.2672293586,1924.,0.2673643035,6260.
0.2717507286,2016.,0.2718689842,2026.,0.272012989,1933.,0.2721941871,7212.
0.2769213123,1997.,0.2770944042,2026.,0.2772293491,1943.,0.2773642940,8164.
0.2819242877,1971.,0.2820341987,2039.,0.2822091979,1950.,0.2824292583,9144.
0.2869120044,1961.,0.2870383663,2030.,0.2871742649,1976.,0.2873092098,10138.
0.2919164104,1966.,0.2920573158,2023.,0.2922373218,1988.,0.2923632068,11160.
0.2971263332,1959.,0.297257225,2004.,0.2973924083,2004.,0.2975542945,12196.
0.3021552963,1960.,0.3022892875,1988.,0.3024251861,2013.,0.3025603694,13302.
0.3071086807,1962.,0.3072295589,1974.,0.3074074192,2038.,0.3075285358,14366.
0.3121705455,1978.,0.3123364849,1959.,0.3124673767,2037.,0.3126871986,15374.
0.3168261451,1987.,0.3169131679,1941.,0.3171329898,2038.,0.3172753257,16326.
0.3217893047,2003.,0.3219612045,1927.,0.3221393032,2029.,0.3222973747,894.
0.3266973896,2023.,0.3268702430,1944.,0.3270132942,2001.,0.3272452754,1874.
0.3317482871,2028.,0.3319032592,1954.,0.3319752616,1979.,0.3322022361,2938.
0.3367901248,2034.,0.3369563026,1960.,0.3371344013,1967.,0.337274353,3890.
0.3418977661,2021.,0.3420279426,1981.,0.3421633644,1962.,0.3423493309,5038.
0.346829216,2016.,0.3469572467,1996.,0.3472083015,1951.,0.3473463459,6116.
0.3517063064,2008.,0.3518762989,2014.,0.3520632190,1942.,0.3521984024,7180.
0.3569350643,1990.,0.3570962352,2035.,0.3572333259,1941.,0.3573701782,8202.
0.3618703289,1975.,0.3619993133,2048.,0.3621423645,1944.,0.3623683853,9112.
0.3669200344,1957.,0.3670273227,2041.,0.367205183,1973.,0.3674276275,10106.
0.3719265861,1950.,0.3720491332,2031.,0.3721962375,1989.,0.3724112911,11016.
0.3770242137,1940.,0.3771782321,2016.,0.3773053092,2010.,0.3774433536,12024.
0.3821874065,1954.,0.3823793334,1993.,0.3825223846,2021.,0.3826563758,13032.
0.3871710700,1965.,0.3873041076,1976.,0.3874094886,2022.,0.3876114292,14040.
0.3921564025,1978.,0.3923292560,1966.,0.3924632472,2024.,0.3925993843,15216.
0.3968751831,1995.,0.3970582885,1958.,0.3971922798,2027.,0.3973713321,16280.
0.4017043514,2006.,0.4018881721,1929.,0.4020672245,2028.,0.4022045536,862.
0.4067740840,2027.,0.4069469375,1931.,0.4070783061,2006.,0.4072564048,1842.
0.4117212696,2045.,0.411847393,1939.,0.4119882984,1983.,0.4121492309,2780.
0.4167733592,2052.,0.4169073505,1953.,0.4170833034,1968.,0.4172242088,3704.
0.4218295021,2034.,0.4220273895,1965.,0.4222033424,1950.,0.4222963256,4684.
0.4269063873,2029.,0.4270272655,2000.,0.4271662635,1949.,0.4273562831,5734.
0.4317691726,2011.,0.431904356,2006.,0.4320462150,1946.,0.4321973724,6770.
0.4368160171,1992.,0.436999361,2009.,0.4372263355,1956.,0.4374063415,7862.
0.4419567985,1985.,0.4421322746,2028.,0.4422262115,1961.,0.4423633022,8954.
0.4469073219,1960.,0.4470072193,2026.,0.4471383495,1980.,0.4473333759,10088.
0.4519203109,1953.,0.4520962638,2027.,0.4522562427,1993.,0.4524074001,11082.
0.4569273395,1936.,0.4571261806,2027.,0.4572613639,2022.,0.4574013156,12006.
0.4621837539,1943.,0.4623232288,1997.,0.4624843997,2037.,0.4626274509,12944.
0.4671664638,1950.,0.4673135681,1981.,0.4674435062,2035.,0.4675784511,13924.
0.4721274776,1971.,0.4722886486,1962.,0.4724274082,2036.,0.4725673599,14834.
0.4771778984,1987.,0.4774008197,1950.,0.4775362415,2034.,0.477694313,15940.
0.4817753238,2000.,0.4819403095,1947.,0.4820263786,2016.,0.4822483463,550.
0.486727993,2022.,0.4868483943,1954.,0.487054388,1998.,0.4872212810,1600.
0.4917760295,2030.,0.491943161,1958.,0.4920783443,1980.,0.4922573966,2664.
0.4969182414,2042.,0.4969592494,1950.,0.4971223278,1969.,0.4972594184,3686.
0.5018725795,2044.,0.5020025176,1974.,0.5021546287,1946.,0.5022774143,4652.
0.5068800849,2038.,0.5070932312,1984.,0.5072272224,1937.,0.5073624057,5604.
0.5118701858,2024.,0.5120282573,2017.,0.5122311515,1929.,0.5123620433,6514.
0.5167181892,2003.,0.5168493194,2025.,0.5170572204,1941.,0.5171912116,7494.
0.5219123764,1989.,0.5221393508,2034.,0.5223193569,1945.,0.5224543018,8502.
0.5269217891,1974.,0.5269563598,2025.,0.5271232528,1970.,0.5273292465,9580.
0.5319388313,1971.,0.5321250362,2012.,0.5322592658,1988.,0.5323923034,10616.
0.5368981761,1957.,0.5370312137,2011.,0.5372622413,2001.,0.5374772949,11722.
0.5420873565,1954.,0.5422182483,1998.,0.5424402160,2019.,0.5425382060,12758.
0.5471482677,1950.,0.5472627086,1987.,0.5474040908,2032.,0.5475240154,13794.
0.5521469516,1959.,0.5522699756,1964.,0.5524549884,2045.,0.5525470180,14746.
0.5572359962,1980.,0.5574131412,1943.,0.5575490398,2042.,0.5577350063,15670.
0.5616903705,1991.,0.5619142456,1939.,0.5620453758,2032.,0.5622222824,294.
0.5667467517,2011.,0.5669153137,1935.,0.5670495433,2018.,0.5672276420,1218.
0.5717258853,2024.,0.5718510551,1942.,0.5720043582,1994.,0.5721533699,2282.
0.5767662925,2028.,0.5768983764,1956.,0.5770852966,1980.,0.5772233409,3276.
0.5818725032,2027.,0.5820954246,1973.,0.5822825832,1964.,0.5824006004,4312.
